NOME_MUNICIPIO,NUM_HABITANTES,ANO
Barras,40948,2000
Barreiras do Piaui,3039,2000
Barro Duro,6400,2000
Batalha,24264,2000
Bela Vista do Piaui,3104,2000
Belem do Piaui,2318,2000
Beneditinos,9693,2000
Bertolinia,4965,2000
Betania do Piaui,7437,2000
Boa Hora,4291,2000
Bocaina,4102,2000
Bom Jesus,14864,2000
Bom Principio do Piaui,4302,2000
Bonfim do Piaui,4402,2000
Boqueirao do Piaui,5501,2000
Brasileira,8152,2000
Brejo do Piaui,2889,2000
Buriti dos Lopes,17222,2000
Buriti dos Montes,6043,2000
Cabeceiras do Piaui,8866,2000
Cajazeiras do Piaui,2640,2000
Cajueiro da Praia,6217,2000
Caldeirao Grande do Piaui,5502,2000
Campinas do Piaui,4614,2000
Campo Alegre do Fidalgo,4254,2000
Campo Grande do Piaui,4342,2000
Campo Largo do Piaui,5352,2000
Campo Maior,40106,2000
Canavieira,3954,2000
Canto do Buriti,16456,2000
Capitao de Campos,10212,2000
Capitao Gervasio Oliveira,4598,2000
Caracol,7976,2000
Caraubas do Piaui,3484,2000
Caridade do Piaui,3422,2000
Castelo do Piaui,18302,2000
Caxingo,2604,2000
Cocal,24322,2000
Cocal de Telha,3849,2000
Cocal dos Alves,4526,2000
Coivaras,3024,2000
Colonia do Gurgueia,4926,2000
Colonia do Piaui,7007,2000
Conceicao do Caninde,4659,2000
Coronel Jose Dias,3518,2000
Corrente,20462,2000
Cristalandia do Piaui,6294,2000
Cristino Castro,8437,2000
Curimata,8414,2000
Currais,4029,2000
Curral Novo do Piaui,4052,2000
Curralinhos,3259,2000
Demerval Lobao,12182,2000
Dirceu Arcoverde,6477,2000
Dom Expedito Lopes,6475,2000
Dom Inocencio,7555,2000
Domingos Mourao,4479,2000
Elesbao Veloso,14617,2000
Eliseu Martins,4013,2000
Esperantina,33662,2000
Fartura do Piaui,3927,2000
Flores do Piaui,4015,2000
Floresta do Piaui,2279,2000
Floriano,52648,2000
Francinopolis,4551,2000
Francisco Ayres,4959,2000
Francisco Macedo,2094,2000
Francisco Santos,6103,2000
Fronteiras,9817,2000
Geminiano,4477,2000
Gilbues,10783,2000
Guadalupe,10811,2000
Guaribas,4742,2000
Hugo Napoleao,3542,2000
Ilha Grande,7705,2000
Inhuma,14050,2000
Ipiranga do Piaui,8597,2000
Isaias Coelho,6979,2000
Itainopolis,9699,2000
Itaueira,9509,2000
Jacobina do Piaui,4549,2000
Jaicos,14949,2000
Jardim do Mulato,4288,2000
Jatoba do Piaui,3499,2000
Jerumenha,4764,2000
Joao Costa,2726,2000
Joaquim Pires,13546,2000
Joca Marques,4113,2000
Jose de Freitas,29121,2000
Juazeiro do Piaui,4739,2000
Julio Borges,4399,2000
Jurema,4109,2000
Lagoa de Sao Francisco,5484,2000
Lagoa do Barro do Piaui,5168,2000
Lagoa do Piaui,3030,2000
Lagoa do Sitio,3582,2000
Lagoa Alegre,7130,2000
Lagoinha do Piaui,2384,2000
Landri Sales,5189,2000
Luis Correia,22825,2000
Luzilandia,25864,2000
Madeiro,5838,2000
Manoel Emidio,4447,2000
Marcolandia,6556,2000
Marcos Parente,4630,2000
Massape do Piaui,5711,2000
Matias Olimpio,9128,2000
Miguel Alves,28216,2000
Miguel Leao,1676,2000
Milton Brandao,5569,2000
Monsenhor Gil,10668,2000
Monsenhor Hipolito,6750,2000
Monte Alegre do Piaui,9315,2000
Morro do Chapeu do Piaui,4863,2000
Morro Cabeca no Tempo,4462,2000
Murici dos Portelas,5918,2000
Nazare do Piaui,8334,2000
Nossa Senhora de Nazare,3250,2000
Nossa Senhora dos Remedios,8246,2000
Nova Santa Rita,3540,2000
Novo Oriente do Piaui,6037,2000
Novo Santo Antonio,3244,2000
Oeiras,32309,2000
Olho D'agua do Piaui,2910,2000
Padre Marcos,6570,2000
Paes Landim,3528,2000
Pajeu do Piaui,3048,2000
Palmeira do Piaui,5367,2000
Palmeirais,12061,2000
Paqueta,4550,2000
Parnagua,9748,2000
Parnaiba,131386,2000
Passagem Franca do Piaui,3644,2000
Patos do Piaui,5706,2000
Paulistana,15752,2000
Pavussu,3829,2000
Pedro II,36087,2000
Pedro Laurentino,1434,2000
Picos,64766,2000
Pimenteiras,8690,2000
Pio IX,14809,2000
Piracuruca,25072,2000
Piripiri,60405,2000
Porto,10587,2000
Porto Alegre do Piaui,1883,2000
Prata do Piaui,3209,2000
Queimada Nova,7999,2000
Redencao do Gurgueia,8172,2000
Regeneracao,16734,2000
Riacho Frio,4581,2000
Ribeira do Piaui,3529,2000
Ribeiro Goncalves,6058,2000
Rio Grande do Piaui,5849,2000
Santa Cruz do Piaui,6280,2000
Santa Cruz dos Milagres,3689,2000
Santa Filomena,5867,2000
Santa Luz,4364,2000
Santa Rosa do Piaui,5386,2000
Santana do Piaui,3318,2000
Santo Antonio de Lisboa,5003,2000
Santo Antonio dos Milagres,1662,2000
Santo Inacio do Piaui,3235,2000
Sao Braz do Piaui,4342,2000
Sao Felix do Piaui,3124,2000
Sao Francisco de Assis do Piaui,4029,2000
Sao Francisco do Piaui,5949,2000
Sao Goncalo do Gurgueia,2469,2000
Sao Goncalo do Piaui,3652,2000
Sao Joao da Canabrava,4485,2000
Sao Joao da Fronteira,5310,2000
Sao Joao da Serra,6661,2000
Sao Joao da Varjota,4284,2000
Sao Joao do Arraial,4248,2000
Sao Joao do Piaui,15420,2000
Sao Jose do Divino,5340,2000
Sao Jose do Peixe,3510,2000
Sao Jose do Piaui,5761,2000
Sao Juliao,5587,2000
Sao Lourenco do Piaui,4621,2000
Sao Luis do Piaui,2444,2000
Sao Miguel da Baixa Grande,1637,2000
Sao Miguel do Fidalgo,2752,2000
Sao Miguel do Tapuio,19427,2000
Sao Pedro do Piaui,12318,2000
Sao Raimundo Nonato,26384,2000
Sebastiao Barros,3871,2000
Sebastiao Leal,3375,2000
Sigefredo Pacheco,7540,2000
Simoes,11652,2000
Simplicio Mendes,10390,2000
Socorro do Piaui,4157,2000
Sussuapara,4400,2000
Tamboril do Piaui,2433,2000
Tanque do Piaui,1971,2000
Teresina,703796,2000
Uniao,37885,2000
Urucui,15547,2000
Valenca do Piaui,19057,2000
Varzea Branca,4783,2000
Varzea Grande,4273,2000
Vera Mendes,2523,2000
Vila Nova do Piaui,2799,2000
Wall Ferraz,3942,2000
Abaiara,7131,2000
Acarape,11512,2000
Acarau,45200,2000
Acopiara,46198,2000
Aiuaba,14452,2000
Alcantaras,9626,2000
Altaneira,6073,2000
Alto Santo,13052,2000
Amontada,31586,2000
Antonina do Norte,6460,2000
Apuiares,12331,2000
Aquiraz,57654,2000
Aracati,62832,2000
Aracoiaba,25042,2000
Ararenda,11425,2000
Araripe,17863,2000
Aratuba,12655,2000
Arneiroz,6787,2000
Assare,18271,2000
Aurora,24905,2000
Baixio,6726,2000
Banabuiu,15868,2000
Barbalha,47745,2000
Barreira,18618,2000
Barro,19818,2000
Barroquinha,13169,2000
Baturite,30979,2000
Beberibe,38934,2000
Bela Cruz,29245,2000
Boa Viagem,47602,2000
Brejo Santo,35565,2000
Camocim,52608,2000
Campos Sales,24338,2000
Caninde,68684,2000
Capistrano,15444,2000
Caridade,15153,2000
Carire,18507,2000
Caririacu,26288,2000
Carius,16759,2000
Carnaubal,15533,2000
Cascavel,52393,2000
Catarina,13134,2000
Catunda,9170,2000
Caucaia,248049,2000
Cedro,23666,2000
Chaval,11839,2000
Choro,12018,2000
Chorozinho,16231,2000
Coreau,19989,2000
Crateus,63531,2000
Crato,100049,2000
Croata,16609,2000
Cruz,19899,2000
Deputado Irapuan Pinheiro,7553,2000
Erere,5839,2000
Eusebio,30560,2000
Farias Brito,21848,2000
Forquilha,18222,2000
Fortaleza,2139372,2000
Fortim,12276,2000
Frecheirinha,12158,2000
General Sampaio,4609,2000
Graca,14548,2000
Granja,46174,2000
Granjeiro,4982,2000
Groairas,8531,2000
Guaiuba,16357,2000
Guaraciaba do Norte,33498,2000
Guaramiranga,5771,2000
